id,medium,,,supplier,catno
1,NUTRIENT AGAR,NB,cb,,
65,GYM STREPTOMYCES MEDIUM,ISP2,cb,,
83,CZAPEK PEPTONE AGAR,CZAPEK,,himedia,
84,ROLLED OATS MINERAL MEDIUM,oatmeal,,,
214,GYM+S MEDIUM,ISP2,cb,,
215,BHI MEDIUM,BHI,cb,,
248,OAT FLAKES AGAR WITH YEAST EXTRACT,oatmeal,,,
251,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),,cb,,
252,STARCH - MINERAL SALT - AGAR (STMS),starch,,,
260,BACILLUS SCHLEGELII HETEROTROPHIC MEDIUM,,,,
310,V-8 JUICE AGAR,V8juice,,,
425,OATMEAL AGAR,oatmeal,,,
514,BACTO MARINE BROTH (DIFCO 2216),MB,cb,,
535,TRYPTICASE SOY BROTH AGAR,TSB,cb,,
545,TRYPTONE SOYA BROTH (TSB),TSB,cb,,
547,ISP MEDIUM 4,isp,,,
548,BENNETT'S AGAR,bennett,,himedia,M694
553,GPHF-MEDIUM,,,,
554,N-Z-AMINE-MEDIUM,,,,
555,SPORULATION-AGAR (SA),,,,
636,ISP MEDIUM 2 WITH 5% NaCl,ISP2,cb,,
656,YEAST-STARCH-AGAR(B),starch,,,
657,COW MANURE AGAR,,,,
693,COLUMBIA BLOOD MEDIUM,,,,
871,GYM + SEAWATER,ISP2,cb,,
894,"BENNETT'S MODIFIED MEDIUM (P. AGRAWAL, UNPUBLISHED)",bennett,,,
987,ISP 2 MEDIUM,ISP2,cb,,
993,ISP 5 MEDIUM,isp,,himedia,M360
1027,YEAST STARCH AGAR (A),ye-starch,,,
1054,A1-MEDIUM,,,,
1081,HORIKOSHI-1 MEDIUM,,,,
1269,ISP 6 MEDIUM,isp,,himedia,M361
1274,YEAST EXTRACT-STARCH AGAR (50% MARINE WATER),ye-starch,,,
1619,ISP 7 MEDIUM,isp,,himedia,M362
1763,Glucose Asparagine Agar,,,,
1765,Potato Carrot Agar,potato-carrot,,himedia,M696
215b,BHI MEDIUM WITH ADDITIONAL GLUCOSE,BHI,cb,,
J104,SUCROSE-BENNETT'S AGAR,bennett,,,
J226,CZAPEK YEAST EXTRACT AGAR (CYA),CZAPEK,,himedia,M1335
J32,MY20 AGAR,,,,
J398,ACIDIC OATMEAL AGAR (pH 5.0),oatmeal,,,
J415,ACIDIC YEAST EXTRACT-MALT EXTRACT AGAR (pH 5.0),,,,
J42,YEAST-STARCH AGAR (A),ye-starch,,,
J422,ACIDIC GLYCEROL-ASPARAGINE AGAR (pH 5.0),,,,
J43,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2),ISP2,cb,,
J44,BENNETT'S AGAR,bennett,,,
J45,MALTOSE-BENNETT'S AGAR,bennett,,,
J48,PEPTONE CORN AGAR,,,,
J49,CYC AGAR,,,,
J50,OATMEAL AGAR (ISP-3),oatmeal,,himedia,M358
J51,OATMEAL AGAR (ISP-3) WITH 0.1% YEAST EXTRACT,oatmeal,,,
J52,OATMEAL-NITRATE AGAR,oatmeal,,,
J527,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH 5% NaCl (pH 9.0),ISP2,cb,,
J53,MGA AGAR,,,,
J54,POTATO-CARROT AGAR,potato-carrot,,himedia,M696
J569,YEAST EXTRACT-MALT EXTRACT AGAR (ISP-2) WITH ARTIFICIAL SEAWATER,ISP2,cb,,
J58,INORGANIC SALTS-STARCH AGAR (ISP-4),starch,,himedia,M359
J60,GLYCEROL-ASPARAGINE AGAR (ISP-5),isp,,himedia,M360
J61,YEAST-STARCH AGAR (B),ye-starch,,,
J66,V8 JUICE AGAR,V8juice,,,
J720,TCG MEDIUM,,,,
J800,ACIDIC YEAST-STARCH AGAR (pH 5.0),ye-starch,,,
J81,GAUZE'S SYNTHETIC MEDIUM NO. 1,,,,
J82,ALKALINE YEAST EXTRACT-MALT EXTRACT AGAR,,,,
