plate,well,component_no,component,ot2_label,vol,transfervol,media_id,new_well,new_plate
P1,A7,component1,1,glucose,2,2,P1-A7,A4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,A4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,A4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,B4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,B4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,B4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,C4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,C4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,C4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,D4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,D4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,D4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,E4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,E4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,E4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,F4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,F4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,F4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,G4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,G4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,G4,P1
P1,A7,component1,1,glucose,2,2,P1-A7,H4,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,H4,P1
P1,A7,component4,8,beef_extract,20,2,P1-A7,H4,P1
P1,A7,component1,1,glucose,20,2,P1-A7,A5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,A5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,A5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,B5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,B5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,B5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,C5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,C5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,C5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,D5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,D5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,D5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,E5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,E5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,E5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,F5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,F5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,F5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,G5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,G5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,G5,P1
P1,A7,component1,1,glucose,20,2,P1-A7,H5,P1
P1,A7,component2,3,mgso4_x_7_h2o,2,2,P1-A7,H5,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,H5,P1
P1,A7,component1,1,glucose,2,2,P1-A7,A6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,A6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,A6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,B6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,B6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,B6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,C6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,C6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,C6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,D6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,D6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,D6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,E6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,E6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,E6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,F6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,F6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,F6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,G6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,G6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,G6,P1
P1,A7,component1,1,glucose,2,2,P1-A7,H6,P1
P1,A7,component2,3,mgso4_x_7_h2o,20,2,P1-A7,H6,P1
P1,A7,component4,8,beef_extract,2,2,P1-A7,H6,P1
